树 1： [(1, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (3, 8), (4, 9)]
树 1： [(1, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (4, 8), (7, 9), (9, 10), (9, 11)]
树 2： [(1, 2), (1, 3), (1, 4), (2, 5), (3, 6), (4, 7), (5, 8), (6, 9), (8, 10), (8, 11), (9, 12), (9, 13)]
树 3： [(1, 2), (1, 3), (1, 4), (2, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (11, 13)]
树 1： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (2, 8), (2, 9), (3, 10), (4, 11), (5, 12), (6, 13), (7, 14)]
树 1： [(1, 2), (1, 3), (1, 4), (2, 5), (2, 6), (3, 7), (4, 8), (7, 9), (9, 10), (10, 11), (11, 12), (11, 13)]
树 1： [(1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (5, 9), (6, 8), (8, 10), (10, 11), (11, 12), (12, 13), (13, 14), (13, 15)]
树 2： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (2, 14), (3, 8), (4, 9), (5, 10), (8, 11), (8, 12), (11, 13), (12, 15)]
树 3： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 9), (2, 7), (2, 12), (2, 14), (3, 8), (4, 10), (5, 11), (6, 13), (9, 15)]
树 4： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 7), (2, 10), (3, 8), (3, 13), (4, 9), (5, 11), (6, 12), (7, 14), (7, 15)]
树 5： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 12), (2, 6), (3, 7), (3, 14), (3, 15), (4, 8), (5, 9), (6, 10), (10, 11), (12, 13)]
树 1： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 14), (2, 6), (2, 7), (3, 8), (4, 9), (5, 10), (8, 11), (8, 12), (11, 13), (12, 15), (14, 16)]
树 2： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 9), (2, 7), (3, 8), (4, 10), (5, 11), (6, 12), (7, 13), (9, 14), (13, 15), (13, 16)]
树 3： [(1, 2), (1, 3), (1, 9), (1, 14), (2, 4), (3, 5), (4, 6), (4, 10), (5, 7), (6, 8), (7, 11), (9, 12), (9, 13), (10, 15), (14, 16)]
树 4： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (4, 9), (5, 10), (8, 11), (8, 12), (8, 14), (11, 13), (12, 15), (14, 16)]
树 5： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 12), (2, 6), (2, 7), (3, 8), (4, 9), (5, 15), (8, 10), (9, 11), (10, 13), (11, 14), (12, 16)]
树 6： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 12), (2, 6), (2, 7), (3, 8), (4, 9), (5, 15), (8, 10), (10, 11), (11, 13), (12, 16), (13, 14)]
树 7： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 12), (2, 6), (3, 7), (4, 8), (5, 9), (6, 10), (6, 11), (10, 13), (10, 14), (11, 15), (12, 16)]
树 1： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (4, 9), (5, 10), (6, 14), (6, 17), (8, 11), (8, 12), (11, 13), (11, 15), (12, 16)]
树 2： [(1, 2), (1, 3), (1, 9), (2, 4), (3, 5), (4, 6), (4, 10), (4, 14), (5, 7), (6, 8), (7, 11), (9, 12), (9, 13), (9, 15), (10, 16), (14, 17)]
树 3： [(1, 2), (1, 3), (1, 9), (2, 4), (3, 5), (4, 6), (4, 10), (5, 7), (5, 14), (6, 8), (7, 11), (9, 12), (9, 13), (9, 15), (10, 16), (14, 17)]
树 4： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (4, 9), (5, 15), (6, 10), (6, 17), (8, 11), (9, 12), (11, 13), (11, 14), (12, 16)]
树 5： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (4, 9), (5, 15), (5, 16), (6, 10), (6, 17), (8, 11), (9, 12), (11, 13), (12, 14)]
树 6： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (4, 9), (4, 13), (5, 15), (6, 10), (6, 17), (8, 11), (11, 12), (12, 14), (14, 16)]
树 7： [(1, 2), (1, 3), (1, 9), (1, 14), (2, 4), (3, 5), (4, 6), (4, 10), (5, 7), (6, 8), (6, 15), (6, 16), (7, 11), (9, 12), (10, 13), (14, 17)]
树 8： [(1, 2), (1, 3), (1, 9), (1, 14), (2, 4), (3, 5), (4, 6), (4, 10), (5, 7), (6, 8), (7, 11), (7, 16), (7, 17), (9, 12), (10, 13), (14, 15)]
树 9： [(1, 2), (1, 3), (1, 9), (2, 4), (3, 5), (4, 6), (4, 10), (5, 7), (5, 14), (6, 8), (6, 15), (6, 16), (7, 11), (9, 12), (10, 13), (14, 17)]
树 10： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (4, 9), (4, 17), (5, 10), (8, 11), (8, 12), (9, 14), (9, 15), (11, 13), (12, 16)]
树 11： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (4, 9), (5, 15), (8, 10), (8, 11), (10, 12), (10, 13), (11, 14), (12, 16), (12, 17)]
树 12： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (2, 13), (3, 8), (4, 9), (5, 17), (8, 10), (9, 11), (10, 12), (11, 14), (12, 15), (15, 16)]
树 13： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (4, 9), (5, 15), (8, 10), (9, 11), (10, 12), (10, 13), (11, 14), (12, 16), (12, 17)]
树 14： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 12), (2, 6), (2, 7), (3, 8), (4, 9), (5, 15), (8, 10), (10, 11), (10, 13), (11, 14), (11, 16), (12, 17)]
树 15： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (2, 13), (3, 8), (4, 9), (5, 15), (8, 10), (10, 11), (11, 12), (11, 14), (12, 16), (14, 17)]
树 16： [(1, 2), (1, 3), (1, 4), (2, 5), (2, 8), (3, 13), (3, 14), (5, 6), (6, 7), (6, 11), (7, 9), (7, 10), (8, 12), (11, 15), (15, 16), (16, 17)]
树 17： [(1, 2), (1, 3), (1, 9), (2, 4), (3, 5), (3, 15), (4, 6), (4, 10), (5, 7), (5, 14), (6, 8), (8, 11), (9, 12), (9, 16), (10, 13), (11, 17)]
树 18： [(1, 2), (1, 3), (1, 9), (2, 4), (3, 5), (3, 14), (4, 6), (4, 10), (4, 15), (5, 7), (5, 16), (6, 8), (9, 11), (9, 12), (10, 13), (15, 17)]
树 19： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (2, 17), (3, 8), (4, 9), (5, 10), (8, 11), (9, 12), (10, 13), (11, 14), (12, 15), (13, 16)]
树 20： [(1, 2), (1, 3), (1, 4), (1, 5), (2, 6), (2, 7), (6, 8), (7, 9), (8, 10), (8, 11), (8, 12), (8, 13), (10, 14), (11, 15), (12, 16), (13, 17)]
树 21： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 12), (2, 6), (2, 17), (3, 7), (4, 8), (5, 9), (6, 10), (6, 11), (7, 13), (12, 14), (13, 15), (13, 16)]
树 22： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 12), (2, 6), (3, 7), (4, 8), (5, 9), (6, 10), (7, 11), (10, 13), (10, 14), (10, 15), (11, 16), (12, 17)]
树 23： [(1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (5, 9), (6, 8), (8, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (15, 17)]
树 24： [(1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 9), (2, 7), (3, 8), (4, 10), (5, 11), (6, 12), (7, 13), (9, 14), (13, 15), (13, 16), (13, 17)]
树 25： [(1, 2), (1, 3), (1, 9), (2, 4), (3, 5), (4, 6), (4, 10), (5, 7), (6, 8), (7, 11), (8, 12), (9, 13), (9, 15), (9, 16), (10, 14), (12, 17)]
